Name_long,Name_short,Name_abbr,Color1,Color2,Logo
Arsenal,Arsenal,ARS,EF0107,DB0007,
Aston Villa,Villa,AVL,95BFE5,670E36,
Bournemouth,Bournemouth,BOU,DA291C,000000,
Brighton & Hove Albion,Brighton,BHA,0057B8,FFFFFF,
Burnley,Burnley,BUR,6C1D45,99D6EA,
Chelsea,Chelsea,CHE,034694,D1D3D4,
Crystal Palace,Palace,CRY,1B458F,C4122E,
Everton,Everton,EVE,003399,FFFFFF,
Leicester City,Leicester,LEI,003090,FDBE11,
Liverpool,Liverpool,LIV,C8102E,00B2A9,
Manchester City,Man City,MCI,6CABDD,FFC659,
Manchester United,Man Utd,MUN,DA291C,FBE122,
Newcastle United,Newcastle,NEW,241F20,BBBCBC,
Norwich City,Norwich,NOR,FFF200,00A650,
Sheffield United,Sheffield Utd,SHU,EE2737,0D171A,
Southampton,Southampton,SOU,D71920,130C0E,
Tottenham Hotspur,Tottenham,TOT,132257,FFFFFF,
Watford,Watford,WAT,FBEE23,11210C,
West Ham United,West Ham,WHU,7A263A,F3D459,
Wolverhampton Wanderers,Wolves,WOL,FDB913,231F20,